_RAJ2000,_DEJ2000,WR,Name,Aname,RAJ2000,DEJ2000,r_Pos,r_FC,recno
292.064875,19.5558611,125,IC14-36,GSC 1609-0416,19 28 15.57,+19 33 21.10,GSC,VI,192
294.9841667,26.5783333,126,ST 2,GSC 2146-2748,19 39 56.20,+26 34 42.00,GSC,VI,193
296.5664167,28.2719722,127,,HIP 97281,19 46 15.94,+28 16 19.10,Hip,VI,194
297.1341667,18.2010278,128,,HIP 97456,19 48 32.20,+18 12 03.70,Hip,VI,195
297.0760417,30.4478056,129,Sey 1,GSC 2669-4572,19 48 18.25,+30 26 52.10,GSC,VI,196
299.8028333,31.4526944,130,LS 16,GSC 2670-1448,19 59 12.68,+31 27 09.70,GSC,VI,197
300.0796667,33.2641944,131,IC14-52,HIP 98466,20 00 19.12,+33 15 51.10,Hip,VI,198
300.415625,32.5716944,132,,GSC 2674 1901,20 01 39.75,+32 34 18.10,GSC,VI,199
301.488875,35.7883889,133,,HIP 99002,20 05 57.33,+35 47 18.20,Hip,VI,200
302.5591667,36.1764167,134,,HIP 99377,20 10 14.20,+36 10 35.10,Hip,VI,201
302.9730417,36.1973889,135,,HIP 99525,20 11 53.53,+36 11 50.60,Hip,VI,202
303.0272917,38.3549444,136,,HIP 99546,20 12 06.55,+38 21 17.80,Hip,VI,203
303.632375,36.661,137,,HIP 99769,20 14 31.77,+36 39 39.60,Hip,VI,204
304.250125,37.4232778,138,,HIP 99982,20 17 00.03,+37 25 23.80,Hip,VI,205
304.8850833,38.7316667,139,,HIP 100214,20 19 32.42,+38 43 54.00,Hip,VI,206
305.1165833,43.8545278,140,,HIP 100287,20 20 27.98,+43 51 16.30,Hip,VI,207
305.3822083,36.9202222,141,,HIP 120155,20 21 31.73,+36 55 12.80,Hip,VI,208
305.4348333,37.3750833,142,Sand 5,GSC 2684-0001,20 21 44.36,+37 22 30.30,GSC,"VI,TF82",209
307.0945,38.6219167,143,,GSC 3152-1081,20 28 22.68,+38 37 18.90,GSC,VI,210
308.0129167,41.2555278,144,HM19-1,,20 32 03.10,+41 15 19.90,VIp,VI,211
308.0261667,40.80825,145,AS 422,GSC 3157-0233,20 32 06.28,+40 48 29.70,GSC,VI,212
308.1108333,40.9525,145a,Cyg X-3,,20 32 26.60,+40 57 09.00,Sim,"WK89,FB96",213
308.9462083,41.3790861,146,HM19-3,GSC 3161-1125,20 35 47.09,+41 22 44.71,DW00,VI,214
